Unnamed: 0,label,MainText,Cleaned_Text,Tokens
1,ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,your opinion about me over jada kusruthi lovable silent spl character not matured stylish simple pls reply,"['your', 'opinion', 'about', 'me', 'over', 'jada', 'kusruthi', 'lovable', 'silent', 'spl', 'character', 'not', 'matured', 'stylish', 'simple', 'pls', 'reply']"
2,ham,What's up? Do you want me to come online? If you are free we can talk sometime�,what s up do you want me to come online if you are free we can talk sometime,"['what', 's', 'up', 'do', 'you', 'want', 'me', 'to', 'come', 'online', 'if', 'you', 'are', 'free', 'we', 'can', 'talk', 'sometime']"
3,ham,So u workin overtime nigpun?,so u workin overtime nigpun,"['so', 'u', 'workin', 'overtime', 'nigpun']"
4,ham,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend.",also sir i sent you an email about how to log into the usc payment portal i ll send you another message that should explain how things are back home have a great weekend,"['also', 'sir', 'i', 'sent', 'you', 'an', 'email', 'about', 'how', 'to', 'log', 'into', 'the', 'usc', 'payment', 'portal', 'i', 'll', 'send', 'you', 'another', 'message', 'that', 'should', 'explain', 'how', 'things', 'are', 'back', 'home', 'have', 'a', 'great', 'weekend']"
5,phishing,Please Stay At Home. To encourage the notion of staying at home. All tax-paying citizens are entitled to �305.96 or more emergency refund. smsg.io/fCVbD,please stay at home to encourage the notion of staying at home all tax paying citizens are entitled to or more emergency refund smsg io fcvbd,"['please', 'stay', 'at', 'home', 'to', 'encourage', 'the', 'notion', 'of', 'staying', 'at', 'home', 'all', 'tax', 'paying', 'citizens', 'are', 'entitled', 'to', 'or', 'more', 'emergency', 'refund', 'smsg', 'io', 'fcvbd']"
6,phishing,BankOfAmerica Alert 137943. Please follow http://bit.do/cgjK-and re-activate,bankofamerica alert please follow re activate,"['bankofamerica', 'alert', 'please', 'follow', 're', 'activate']"
7,ham,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.,sorry dude dont know how i forgot even after dan reminded me sorry hope you guys had fun,"['sorry', 'dude', 'dont', 'know', 'how', 'i', 'forgot', 'even', 'after', 'dan', 'reminded', 'me', 'sorry', 'hope', 'you', 'guys', 'had', 'fun']"
8,ham,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,i don t quite know what to do i still can t get hold of anyone i cud pick you up bout pm and we can see if they re in the pub,"['i', 'don', 't', 'quite', 'know', 'what', 'to', 'do', 'i', 'still', 'can', 't', 'get', 'hold', 'of', 'anyone', 'i', 'cud', 'pick', 'you', 'up', 'bout', 'pm', 'and', 'we', 'can', 'see', 'if', 'they', 're', 'in', 'the', 'pub']"
9,ham,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...,ok lor anyway i thk we cant get tickets now cos like quite late already u wan go look ur frens a not darren is wif them now,"['ok', 'lor', 'anyway', 'i', 'thk', 'we', 'cant', 'get', 'tickets', 'now', 'cos', 'like', 'quite', 'late', 'already', 'u', 'wan', 'go', 'look', 'ur', 'frens', 'a', 'not', 'darren', 'is', 'wif', 'them', 'now']"
10,ham,Wat r u doing now?,wat r u doing now,"['wat', 'r', 'u', 'doing', 'now']"
11,ham,Buy one egg for me da..please:),buy one egg for me da please,"['buy', 'one', 'egg', 'for', 'me', 'da', 'please']"
12,ham,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,is there a reason we ve not spoken this year anyways have a great week and all the best in your exam,"['is', 'there', 'a', 'reason', 'we', 've', 'not', 'spoken', 'this', 'year', 'anyways', 'have', 'a', 'great', 'week', 'and', 'all', 'the', 'best', 'in', 'your', 'exam']"
13,ham,Stop the story. I've told him i've returned it and he's saying i should not re order it.,stop the story i ve told him i ve returned it and he s saying i should not re order it,"['stop', 'the', 'story', 'i', 've', 'told', 'him', 'i', 've', 'returned', 'it', 'and', 'he', 's', 'saying', 'i', 'should', 'not', 're', 'order', 'it']"
14,ham,No. I dont want to hear anything,no i dont want to hear anything,"['no', 'i', 'dont', 'want', 'to', 'hear', 'anything']"
15,ham,"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai..........",waqt se pehle or naseeb se zyada kisi ko kuch nahi milta zindgi wo nahi he jo hum sochte hai zindgi wo hai jo ham jeetey hai,"['waqt', 'se', 'pehle', 'or', 'naseeb', 'se', 'zyada', 'kisi', 'ko', 'kuch', 'nahi', 'milta', 'zindgi', 'wo', 'nahi', 'he', 'jo', 'hum', 'sochte', 'hai', 'zindgi', 'wo', 'hai', 'jo', 'ham', 'jeetey', 'hai']"
16,ham,I'm e person who's doing e sms survey...,i m e person who s doing e sms survey,"['i', 'm', 'e', 'person', 'who', 's', 'doing', 'e', 'sms', 'survey']"
17,ham,Mm i had my food da from out,mm i had my food da from out,"['mm', 'i', 'had', 'my', 'food', 'da', 'from', 'out']"
18,ham,"4 tacos + 1 rajas burrito, right?",tacos rajas burrito right,"['tacos', 'rajas', 'burrito', 'right']"
19,ham,"House-Maid is the murderer, coz the man was murdered on  26th January.. ",house maid is the murderer coz the man was murdered on th january,"['house', 'maid', 'is', 'the', 'murderer', 'coz', 'the', 'man', 'was', 'murdered', 'on', 'th', 'january']"
20,ham,Yes! How is a pretty lady like you single?,yes how is a pretty lady like you single,"['yes', 'how', 'is', 'a', 'pretty', 'lady', 'like', 'you', 'single']"
21,ham,(That said can you text him one more time?),that said can you text him one more time,"['that', 'said', 'can', 'you', 'text', 'him', 'one', 'more', 'time']"
22,ham,I know she called me,i know she called me,"['i', 'know', 'she', 'called', 'me']"
23,ham,In sch but neva mind u eat 1st lor..,in sch but neva mind u eat st lor,"['in', 'sch', 'but', 'neva', 'mind', 'u', 'eat', 'st', 'lor']"
24,phishing,lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468,lyricalladie f is inviting you to be her friend reply yes or no see her stop send stop frnd to,"['lyricalladie', 'f', 'is', 'inviting', 'you', 'to', 'be', 'her', 'friend', 'reply', 'yes', 'or', 'no', 'see', 'her', 'stop', 'send', 'stop', 'frnd', 'to']"
25,ham,Jay says that you're a double-faggot,jay says that you re a double faggot,"['jay', 'says', 'that', 'you', 're', 'a', 'double', 'faggot']"
26,ham,Ok i thk i got it. Then u wan me 2 come now or wat?,ok i thk i got it then u wan me come now or wat,"['ok', 'i', 'thk', 'i', 'got', 'it', 'then', 'u', 'wan', 'me', 'come', 'now', 'or', 'wat']"
27,phishing,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403233,ur awarded a city break and could win a summer shopping spree every wk txt store to skilgme tscs,"['ur', 'awarded', 'a', 'city', 'break', 'and', 'could', 'win', 'a', 'summer', 'shopping', 'spree', 'every', 'wk', 'txt', 'store', 'to', 'skilgme', 'tscs']"
28,phishing,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",hello from orange for month s free access to games news and sport plus free texts and photo messages reply yes terms apply,"['hello', 'from', 'orange', 'for', 'month', 's', 'free', 'access', 'to', 'games', 'news', 'and', 'sport', 'plus', 'free', 'texts', 'and', 'photo', 'messages', 'reply', 'yes', 'terms', 'apply']"
29,ham,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...,oh lk tt den we take e one tt ends at cine lor dun wan yogasana oso can,"['oh', 'lk', 'tt', 'den', 'we', 'take', 'e', 'one', 'tt', 'ends', 'at', 'cine', 'lor', 'dun', 'wan', 'yogasana', 'oso', 'can']"
30,ham,Whens your radio show?,whens your radio show,"['whens', 'your', 'radio', 'show']"
31,ham,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",jane babes not goin wrk feel ill after lst nite foned in already cover me chuck,"['jane', 'babes', 'not', 'goin', 'wrk', 'feel', 'ill', 'after', 'lst', 'nite', 'foned', 'in', 'already', 'cover', 'me', 'chuck']"
32,phishing,"New Offer! Save upto 40\% electricity bill with Power Saver(GOVT. LAB TESTED), Rs. 1050/-(free home delivery) 3 Yr. Guarantee Call 9891943823,9891943780",new offer save upto electricity bill with power saver govt lab tested rs free home delivery yr guarantee call,"['new', 'offer', 'save', 'upto', 'electricity', 'bill', 'with', 'power', 'saver', 'govt', 'lab', 'tested', 'rs', 'free', 'home', 'delivery', 'yr', 'guarantee', 'call']"
33,ham,What * u wearing?,what u wearing,"['what', 'u', 'wearing']"
34,ham,o turns out i had stereo love on mi phone under the unknown album.,o turns out i had stereo love on mi phone under the unknown album,"['o', 'turns', 'out', 'i', 'had', 'stereo', 'love', 'on', 'mi', 'phone', 'under', 'the', 'unknown', 'album']"
35,ham,"Ela kano.,il download, come wen ur free..",ela kano il download come wen ur free,"['ela', 'kano', 'il', 'download', 'come', 'wen', 'ur', 'free']"
36,ham,"Haha figures, well I found the piece and priscilla's bowl",haha figures well i found the piece and priscilla s bowl,"['haha', 'figures', 'well', 'i', 'found', 'the', 'piece', 'and', 'priscilla', 's', 'bowl']"
37,ham,Can you do online transaction?,can you do online transaction,"['can', 'you', 'do', 'online', 'transaction']"
38,ham,Ü neva tell me how i noe... I'm not at home in da aft wat...,ü neva tell me how i noe i m not at home in da aft wat,"['ü', 'neva', 'tell', 'me', 'how', 'i', 'noe', 'i', 'm', 'not', 'at', 'home', 'in', 'da', 'aft', 'wat']"
39,phishing,	YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386,you have won as a valued vodafone customer our computer has picked you to win a prize to collect is easy just call,"['you', 'have', 'won', 'as', 'a', 'valued', 'vodafone', 'customer', 'our', 'computer', 'has', 'picked', 'you', 'to', 'win', 'a', 'prize', 'to', 'collect', 'is', 'easy', 'just', 'call']"
40,phishing,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,you will recieve your tone within the next hrs for terms and conditions please see channel u teletext pg,"['you', 'will', 'recieve', 'your', 'tone', 'within', 'the', 'next', 'hrs', 'for', 'terms', 'and', 'conditions', 'please', 'see', 'channel', 'u', 'teletext', 'pg']"
41,ham,What you doing?how are you?,what you doing how are you,"['what', 'you', 'doing', 'how', 'are', 'you']"
42,ham,I didn't get the second half of that message,i didn t get the second half of that message,"['i', 'didn', 't', 'get', 'the', 'second', 'half', 'of', 'that', 'message']"
